name,category,fund_id,fund_code,risk_class,currency,bid_price,price_date,offer_price,offer_price_date,fund_size_m,mgmt_fee_pct,expense_ratio_pct,inception_date,manager,cpf_oa,cpf_sa,srs,returns_as_at,ret_ytd,ret_1m,ret_3m,ret_6m,ret_1y,ret_3y_ann,ret_3y_cum,ret_5y_ann,ret_5y_cum,ret_10y_ann,ret_10y_cum,ret_si_ann,ret_si_cum,factsheet_as_at,factsheet_local,factsheet_url
GreatLink ASEAN Growth Fund,Regional Equity,F0HKG07062_F02,F02,4 - Higher Risk,SGD,3.789,2026-08-21,3.989,2026-08-21,354.41,1.5,1.62,1996-04-26,Great Eastern Life,False,False,True,2026-08-21,7.21562,0.82491,5.77889,2.12938,10.36994,9.61288,31.7,4.10237,22.27,2.93945,33.6,4.67,298.84,2026-06-30,factsheets/greatlink-asean-growth-fund.pdf,https://doc.morningstar.com/Document/48bc5cb0381d1058771cc72eb215371f.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Asia Dividend Advantage Fund,Regional Equity,F00001KWYI_F227,F227,4 - Higher Risk,SGD,1.204,2026-08-21,1.268,2026-08-21,48.38,1.5,1.69,2024-04-23,Great Eastern Life,False,False,True,2026-08-21,17.07157,3.08219,4.60469,12.81084,24.54263,,,,,,,14.63,37.41,2026-06-30,factsheets/greatlink-asia-dividend-advantage-fund.pdf,https://doc.morningstar.com/Document/63e80ad4e0e5fe7723e788d84ec15e0f.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Asia High Dividend Equity Fund,Regional Equity,F0HKG0706J_F05,F05,4 - Higher Risk,SGD,1.19,2026-08-21,1.253,2026-08-21,55.42,1.5,1.68,2000-07-10,Great Eastern Life,False,False,True,2026-08-21,25.75837,1.88356,2.08456,13.19428,38.23514,21.24797,78.25,6.63177,37.86,6.76277,92.4,2.46,88.73,2026-06-30,factsheets/greatlink-asia-high-dividend-equity-fund.pdf,https://doc.morningstar.com/Document/3b0f5e81252fbc8865dfc191d0bee9d7.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Asia Pacific Equity Fund,Regional Equity,F0HKG07064_F03,F03,4 - Higher Risk,SGD,4.486,2026-08-21,4.723,2026-08-21,879.37,1.5,1.44,1996-04-26,Great Eastern Life,True,False,True,2026-08-21,21.21048,2.14026,2.51371,9.97794,33.23433,20.86064,76.54,6.44314,36.64,8.40256,124.08,5.25,372.21,2026-06-30,factsheets/greatlink-asia-pacific-equity-fund.pdf,https://doc.morningstar.com/Document/f7cb2752175df79f46b59600e7d0d93c.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink European Sustainable Equity Fund,Regional Equity,F0HKG07065_F06,F06,4 - Higher Risk,SGD,1.235,2026-08-21,1.3,2026-08-21,21.53,1.6,1.72,2000-07-10,Great Eastern Life,True,False,True,2026-08-21,6.6494,3.52054,6.83391,7.11188,4.21941,4.31482,13.51,-0.929,-4.56,3.13498,36.16,1.01,30.0,2026-06-30,factsheets/greatlink-european-sustainable-equity-fund.pdf,https://doc.morningstar.com/Document/48bc5cb0381d1058f9b2bc3bb18aa016.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Far East Ex Japan Equities Fund,Regional Equity,F0HKG07066_F17,F17,4 - Higher Risk,SGD,4.937,2026-08-21,5.197,2026-08-21,128.31,1.5,1.61,2002-03-25,Great Eastern Life,False,False,True,2026-08-21,27.60403,2.00413,1.12659,13.4421,45.2486,25.88171,99.47,7.95531,46.63,9.61137,150.35,6.99,419.68,2026-06-30,factsheets/greatlink-far-east-ex-japan-equities-fund.pdf,https://doc.morningstar.com/Document/63e80ad4e0e5fe77524e0ff9d34f7d76.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Emerging Markets Equity Fund,Regional Equity,F00000PM36_F175,F175,4 - Higher Risk,SGD,2.446,2026-08-21,2.575,2026-08-21,252.4,1.6,1.67,2013-01-23,Great Eastern Life,True,False,True,2026-08-21,30.45333,2.81631,3.90824,15.70482,48.24242,23.23298,87.15,4.95082,27.33,8.02837,116.46,7.23,158.04,2026-06-30,factsheets/greatlink-global-emerging-markets-equity-fund.pdf,https://doc.morningstar.com/Document/1e45c7504d9a8ee05748c67310ac5388.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink China Growth Fund,Single Country Equity,F0HKG07136_F32,F32,4 - Higher Risk,SGD,2.578,2026-08-21,2.714,2026-08-21,443.46,1.5,1.63,2007-01-09,Great Eastern Life,True,False,True,2026-08-21,18.91144,2.0182,-0.57848,8.22838,32.20513,16.82191,59.43,1.8519,9.61,8.72339,130.8,5.22,171.37,2026-06-30,factsheets/greatlink-china-growth-fund.pdf,https://doc.morningstar.com/Document/528d185494e041521a316a52a21931fd.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lion India Fund,Single Country Equity,F0HKG07137_F33,F33,4 - Higher Risk,SGD,2.034,2026-08-21,2.142,2026-08-21,124.65,1.5,1.84,2007-01-09,Great Eastern Life,False,False,True,2026-08-21,-1.54889,0.94293,11.14754,5.77223,-4.0566,4.88166,15.37,4.23549,23.05,6.4761,87.29,3.96,114.11,2026-06-30,factsheets/greatlink-lion-india-fund.pdf,https://doc.morningstar.com/Document/77a5597534d8beee1ec28253b6369a58.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lion Japan Growth Fund,Single Country Equity,F0HKG07135_F31,F31,4 - Higher Risk,SGD,3.051,2026-08-21,3.212,2026-08-21,72.87,1.5,1.66,2007-01-09,Great Eastern Life,True,False,True,2026-08-21,19.31952,0.79286,4.8814,7.5811,32.59452,25.02967,95.45,19.25328,141.19,16.1795,348.02,6.13,221.16,2026-06-30,factsheets/greatlink-lion-japan-growth-fund.pdf,https://doc.morningstar.com/Document/48bc5cb0381d105865e467651e111d37.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lion Vietnam Fund,Single Country Equity,F000001EUN_F36,F36,4 - Higher Risk,SGD,1.279,2026-08-21,1.347,2026-08-21,43.74,1.5,1.75,2008-02-01,Great Eastern Life,False,False,True,2026-08-21,-3.54449,3.81494,-5.67847,-3.61718,-1.46379,4.49327,14.09,-0.67418,-3.33,8.11782,118.26,1.62,34.63,2026-06-30,factsheets/greatlink-lion-vietnam-fund.pdf,https://doc.morningstar.com/Document/6f00654484d000dbde5497f774608ad2.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Singapore Equities Fund,Single Country Equity,F0HKG0706K_F18,F18,4 - Higher Risk,SGD,4.496,2026-08-21,4.733,2026-08-21,463.12,1.25,1.65,2002-03-25,Great Eastern Life,True,False,True,2026-08-21,14.40204,2.04267,5.49038,9.17921,24.30191,21.30147,78.48,12.64449,81.36,9.25085,142.24,6.58,373.26,2026-06-30,factsheets/greatlink-singapore-equities-fund.pdf,https://doc.morningstar.com/Document/afb17d4b454579b81b5cbecf2d20b88c.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Diversified Growth Portfolio,Mixed Asset,F000013JGN_F212,F212,4 - Higher Risk,SGD,1.693,2026-08-21,1.783,2026-08-21,154.54,0.5,0.69,2019-04-18,Great Eastern Life,False,False,True,2026-08-21,10.14964,1.4988,2.91793,5.8125,16.67815,14.42638,49.82,6.49463,36.97,,,8.19,78.21,2026-06-30,factsheets/greatlink-diversified-growth-portfolio.pdf,https://doc.morningstar.com/Document/8539875489fd0ee336bffd3319ab8f4f.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Dynamic Balanced Portfolio,Mixed Asset,F00001T6DG_F229,F229,3 - Medium to High Risk,SGD,1.003,2026-08-21,1.056,2026-08-21,12.63,1.4,,2025-10-15,Great Eastern Life,False,False,True,2026-08-21,6.25,0.4004,1.51822,5.02618,,,,,,,,,5.58,2026-06-30,factsheets/greatlink-dynamic-balanced-portfolio.pdf,https://doc.morningstar.com/Document/edea318ae5b101eb3120d731dc6d0cc4.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Dynamic Growth Portfolio,Mixed Asset,F00001T6DI_F230,F230,4 - Higher Risk,SGD,1.026,2026-08-21,1.08,2026-08-21,16.52,1.55,,2025-10-15,Great Eastern Life,False,False,True,2026-08-21,8.45666,0.78585,2.29312,7.21003,,,,,,,,,8.0,2026-06-30,factsheets/greatlink-dynamic-growth-portfolio.pdf,https://doc.morningstar.com/Document/edea318ae5b101eb3120d731dc6d0cc4.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Dynamic Secure Portfolio,Mixed Asset,F00001T6DE_F228,F228,2 - Low to Medium Risk,SGD,0.957,2026-08-21,1.008,2026-08-21,11.03,1.1,,2025-10-15,Great Eastern Life,False,False,True,2026-08-21,1.59236,-0.41623,0.0,0.73684,,,,,,,,,0.84,2026-06-30,factsheets/greatlink-dynamic-secure-portfolio.pdf,https://doc.morningstar.com/Document/edea318ae5b101eb3120d731dc6d0cc4.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Supreme Fund,Mixed Asset,F0HKG0706B_F04,F04,3 - Medium to High Risk,SGD,2.522,2026-08-21,2.655,2026-08-21,396.23,1.35,1.49,1999-07-01,Great Eastern Life,True,True,True,2026-08-21,4.69074,0.27833,1.9814,4.0429,8.56651,9.47894,31.22,2.25421,11.79,4.83387,60.33,3.66,165.47,2026-06-30,factsheets/greatlink-global-supreme-fund.pdf,https://doc.morningstar.com/Document/38ce346aac1829e86da980f131568b14.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Income Focus Fund,Mixed Asset,F000000J3P_F34,F34,4 - Higher Risk,SGD,0.821,2026-08-21,0.865,2026-08-21,80.88,1.35,1.61,2007-07-24,Great Eastern Life,False,False,True,2026-08-21,6.43176,1.48331,1.98758,2.65389,11.27646,10.07473,33.37,3.41758,18.3,4.07664,49.12,1.84,41.66,2026-06-30,factsheets/greatlink-income-focus-fund.pdf,https://doc.morningstar.com/Document/759fd1e70fa165b8393012c1d2af7a00.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lifestyle Balanced Portfolio,Mixed Asset,F0HKG0706E_F23,F23,3 - Medium to High Risk,SGD,2.715,2026-08-21,2.858,2026-08-21,614.33,1.27,1.39,2002-03-25,Great Eastern Life,True,True,True,2026-08-21,9.78569,1.07967,2.06767,5.68315,16.22432,12.61491,42.82,3.5722,19.18,6.1199,81.12,4.4,185.79,2026-06-30,factsheets/greatlink-lifestyle-balanced-portfolio.pdf,https://doc.morningstar.com/Document/6f00654484d000db8aded5afcc476778.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lifestyle Progressive Portfolio,Mixed Asset,F0HKG0706G_F24,F24,4 - Higher Risk,SGD,3.119,2026-08-21,3.284,2026-08-21,161.83,1.43,1.5,2002-03-25,Great Eastern Life,True,False,True,2026-08-21,12.80289,1.66232,2.86939,7.6631,21.22037,15.7344,55.02,5.05869,27.99,7.85678,113.05,4.99,228.32,2026-06-30,factsheets/greatlink-lifestyle-progressive-portfolio.pdf,https://doc.morningstar.com/Document/6f00654484d000db8aded5afcc476778.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lifestyle Secure Portfolio,Mixed Asset,F0HKG0706H_F21,F21,2 - Low to Medium Risk,SGD,2.083,2026-08-21,2.193,2026-08-21,111.14,0.92,0.9,2002-03-25,Great Eastern Life,True,True,True,2026-08-21,2.30845,0.04803,0.57943,0.67666,4.98992,5.87759,18.69,0.54653,2.76,2.54569,28.58,3.27,119.26,2026-06-30,factsheets/greatlink-lifestyle-secure-portfolio.pdf,https://doc.morningstar.com/Document/6f00654484d000db8aded5afcc476778.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lifestyle Steady Portfolio,Mixed Asset,F0HKG0706I_F22,F22,3 - Medium to High Risk,SGD,2.262,2026-08-21,2.382,2026-08-21,44.6,1.1,1.16,2002-03-25,Great Eastern Life,True,True,True,2026-08-21,4.81928,0.57803,1.25336,2.35294,9.11722,8.91027,29.18,1.94793,10.13,4.24912,51.61,3.62,138.11,2026-06-30,factsheets/greatlink-lifestyle-steady-portfolio.pdf,https://doc.morningstar.com/Document/6f00654484d000db8aded5afcc476778.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Lion Asian Balanced Fund,Mixed Asset,F000001EUM_F35,F35,3 - Medium to High Risk,SGD,1.645,2026-08-21,1.732,2026-08-21,85.57,1.35,1.5,2008-02-01,Great Eastern Life,True,True,True,2026-08-21,10.18084,0.61162,0.55012,3.91661,15.03497,12.31676,41.69,3.80222,20.51,5.17722,65.66,3.0,73.16,2026-06-30,factsheets/greatlink-lion-asian-balanced-fund.pdf,https://doc.morningstar.com/Document/fe1beeb9ea027eb7d3f04cc6ded9ec25.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink US Income and Growth Fund (Dis),Mixed Asset,F00001FPDX_F225,F225,4 - Higher Risk,SGD,0.994,2026-08-21,1.047,2026-08-21,1262.37,1.5,1.84,2023-04-28,Great Eastern Life,False,False,True,2026-08-21,2.9532,-1.09453,-1.93828,1.8163,6.85084,8.39411,27.35,,,,,8.66,31.71,2026-06-30,factsheets/greatlink-us-income-and-growth-fund-dis.pdf,https://doc.morningstar.com/Document/49676ea25b2f24b2a6cce55f54c0bf07.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Cash Fund,Money Markets and Bonds,F0HKG07063_F01,F01,1 - Lower Risk,SGD,1.514,2026-08-21,1.594,2026-08-21,70.25,0.3,0.41,1996-04-26,Great Eastern Life,False,False,True,2026-08-21,0.86609,0.06609,0.2649,0.53121,1.40656,2.66823,8.22,2.33467,12.23,1.72496,18.65,1.55,59.37,2026-06-30,factsheets/greatlink-cash-fund.pdf,https://doc.morningstar.com/Document/3a8c1e22ce2fa3f1b538f6e220bc8f1c.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Global Bond Fund,Money Markets and Bonds,F0HKG07067_F12,F12,2 - Low to Medium Risk,SGD,1.6,2026-08-21,1.685,2026-08-21,464.25,0.85,0.89,2002-01-15,Great Eastern Life,True,True,True,2026-08-21,-1.84049,-0.55935,-0.31153,-2.3795,-0.68281,1.85868,5.68,-2.55445,-12.14,-0.09327,-0.93,2.14,68.42,2026-06-30,factsheets/greatlink-global-bond-fund.pdf,https://doc.morningstar.com/Document/fc89b384c636c1853f9187f255d2ede8.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Income Bond Fund,Money Markets and Bonds,F000016LHO_F216,F216,3 - Medium to High Risk,SGD,0.761,2026-08-21,0.802,2026-08-21,43.44,1.0,1.2,2021-03-22,Great Eastern Life,False,False,True,2026-08-21,-0.49716,-0.26212,0.14746,-0.75529,0.45795,3.73703,11.64,0.37368,1.88,,,0.33,1.81,2026-06-30,factsheets/greatlink-income-bond-fund.pdf,https://doc.morningstar.com/Document/afb17d4b454579b8f4a35efa4234b445.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Multi-Sector Income Fund,Money Markets and Bonds,F00001KWYJ_F226,F226,3 - Medium to High Risk,SGD,0.876,2026-08-21,0.923,2026-08-21,556.75,1.45,1.48,2024-04-23,Great Eastern Life,False,False,True,2026-08-21,-2.08717,-0.56754,-0.60531,-3.11806,0.32382,,,,,,,2.72,6.45,2026-06-30,factsheets/greatlink-multi-sector-income-fund.pdf,https://doc.morningstar.com/Document/d6ab5da4486e8cd3cac572a732d727c8.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Short Duration Bond Fund,Money Markets and Bonds,F0HKG0706L_F20,F20,2 - Low to Medium Risk,SGD,1.714,2026-08-21,1.805,2026-08-21,164.28,0.5,0.57,2002-03-25,Great Eastern Life,True,True,True,2026-08-21,0.94229,-0.05831,0.41008,0.52786,1.78147,4.17669,13.06,1.96617,10.23,2.32538,25.84,2.45,80.42,2026-06-30,factsheets/greatlink-short-duration-bond-fund.pdf,https://doc.morningstar.com/Document/8d29af5870e2b475f03db248e4123a5c.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
GreatLink Singapore Physical Gold Fund,Commodities,F00001TBVK_F231,F231,4 - Higher Risk,SGD,0.837,2026-08-21,0.882,2026-08-21,39.66,0.4,,2026-01-23,Great Eastern Life,False,False,True,2026-08-21,,10.71429,0.0,-8.92274,,,,,,,,,-11.89,2026-06-30,factsheets/greatlink-singapore-physical-gold-fund.pdf,https://doc.morningstar.com/Document/50fc9c20a3f78e226bdecee5d17b46ff.msdoc/?key=023d247708a47993ed8467e955ed1f06d56f71215c0d4940cfd29d8eacbd50f5
